"","Archipelago","Island","Island_Site","Depth","Cattegory","Coral_genus","Cover"
"163","Society","Bora","1",60,"Scleractinian","Astreopora",0.288833333333333
"164","Gambier","Mangareva","1",60,"Scleractinian","Astreopora",0.0443333333333333
"165","Society","Moorea","1",60,"Scleractinian","Astreopora",0.089
"166","Tuamotu","Rangiroa","1",60,"Scleractinian","Astreopora",0.622
"167","Tuamotu","Raroia","1",60,"Scleractinian","Astreopora",0.177333333333333
"168","Society","Bora","2",60,"Scleractinian","Astreopora",0.0443333333333333
"169","Gambier","Mangareva","2",60,"Scleractinian","Astreopora",0.0886666666666667
"170","Society","Moorea","2",60,"Scleractinian","Astreopora",0.089
"171","Tuamotu","Rangiroa","2",60,"Scleractinian","Astreopora",0.192444444444444
"172","Tuamotu","Tikehau","2",60,"Scleractinian","Astreopora",1.64466666666667
"173","Tuamotu","Raroia","1",90,"Scleractinian","Astreopora",0.0886666666666667
"174","Society","Bora","2",90,"Scleractinian","Astreopora",0.443666666666667
"175","Gambier","Mangareva","2",90,"Scleractinian","Astreopora",0.311
"176","Tuamotu","Raroia","2",90,"Scleractinian","Astreopora",0.133333333333333
"177","Gambier","Mangareva","1",120,"Scleractinian","Astreopora",0.133166666666667
"178","Tuamotu","Rangiroa","2",120,"Scleractinian","Astreopora",0.133333333333333
"179","Tuamotu","Rangiroa","2",60,"Scleractinian","Cantharellus",0.0443333333333333
"180","Society","Tahiti","2",60,"Scleractinian","Cantharellus",0.0443333333333333
"181","Tuamotu","Tikehau","2",60,"Scleractinian","Cantharellus",0.133
"182","Society","Bora","2",90,"Scleractinian","Cantharellus",0.0443333333333333
"183","Tuamotu","Tikehau","2",90,"Scleractinian","Cantharellus",0.0443333333333333
"184","Tuamotu","Rangiroa","1",90,"Scleractinian","Coscinarea",0.666
"185","Tuamotu","Raroia","1",90,"Scleractinian","Coscinarea",0.155333333333333
"186","Tuamotu","Rangiroa","2",90,"Scleractinian","Coscinarea",0.333166666666667
"187","Tuamotu","Raroia","2",90,"Scleractinian","Coscinarea",0.0886666666666667
"188","Tuamotu","Tikehau","2",90,"Scleractinian","Coscinarea",0.0443333333333333
"189","Society","Tahiti","2",40,"Scleractinian","Cycloseris",0.089
"190","Tuamotu","Rangiroa","1",60,"Scleractinian","Cycloseris",0.0886666666666667
"191","Society","Tahiti","1",60,"Scleractinian","Cycloseris",0.089
"192","Society","Bora","2",60,"Scleractinian","Cycloseris",0.0443333333333333
"193","Society","Tahiti","2",60,"Scleractinian","Cycloseris",0.0443333333333333
"194","Tuamotu","Makatea","1",90,"Scleractinian","Cycloseris",0.089
"195","Gambier","Mangareva","1",90,"Scleractinian","Cycloseris",0.133
"196","Tuamotu","Rangiroa","1",90,"Scleractinian","Cycloseris",0.0443333333333333
"197","Tuamotu","Raroia","1",90,"Scleractinian","Cycloseris",0.0443333333333333
"198","Gambier","Mangareva","1",120,"Scleractinian","Cycloseris",0.0886666666666667
"199","Tuamotu","Raroia","1",120,"Scleractinian","Cycloseris",0.488333333333333
"200","Gambier","Mangareva","2",120,"Scleractinian","Cycloseris",0.133
"201","Tuamotu","Rangiroa","2",120,"Scleractinian","Cycloseris",0.399666666666667
"202","Tuamotu","Raroia","2",120,"Scleractinian","Cycloseris",0.0443333333333333
"203","Tuamotu","Makatea","1",20,"Scleractinian","Cyphastrea",0.0443333333333333
"204","Society","Tahiti","1",20,"Scleractinian","Cyphastrea",0.0443333333333333
"205","Society","Bora","2",20,"Scleractinian","Cyphastrea",0.0888333333333333
"206","Society","Moorea","2",20,"Scleractinian","Cyphastrea",0.133166666666667
"207","Tuamotu","Rangiroa","2",20,"Scleractinian","Cyphastrea",0.0665
"208","Tuamotu","Tikehau","2",20,"Scleractinian","Cyphastrea",0.4
"209","Society","Bora","1",40,"Scleractinian","Cyphastrea",0.267
"210","Society","Moorea","1",40,"Scleractinian","Cyphastrea",0.1555
"211","Society","Bora","2",40,"Scleractinian","Cyphastrea",0.222166666666667
"212","Society","Moorea","2",40,"Scleractinian","Cyphastrea",0.0665
"213","Tuamotu","Rangiroa","2",40,"Scleractinian","Cyphastrea",0.0886666666666667
"214","Society","Bora","1",60,"Scleractinian","Cyphastrea",0.222
"215","Society","Moorea","1",60,"Scleractinian","Cyphastrea",0.0443333333333333
"216","Tuamotu","Rangiroa","1",60,"Scleractinian","Cyphastrea",0.0443333333333333
"217","Tuamotu","Raroia","1",60,"Scleractinian","Cyphastrea",0.0443333333333333
"218","Society","Bora","2",60,"Scleractinian","Cyphastrea",0.489
"219","Society","Moorea","2",60,"Scleractinian","Cyphastrea",0.710833333333333
"220","Tuamotu","Rangiroa","2",60,"Scleractinian","Cyphastrea",0.0886666666666667
"221","Tuamotu","Tikehau","2",60,"Scleractinian","Cyphastrea",0.0443333333333333
"222","Tuamotu","Rangiroa","2",90,"Scleractinian","Cyphastrea",0.0443333333333333
"223","Society","Bora","1",6,"Scleractinian","Dipsastrea",0.0886666666666667
"224","Tuamotu","Makatea","1",6,"Scleractinian","Dipsastrea",0.089
"225","Gambier","Mangareva","1",6,"Scleractinian","Dipsastrea",0.089
"226","Tuamotu","Rangiroa","1",6,"Scleractinian","Dipsastrea",0.133333333333333
"227","Tuamotu","Raroia","1",6,"Scleractinian","Dipsastrea",0.0443333333333333
"228","Society","Moorea","2",6,"Scleractinian","Dipsastrea",0.0443333333333333
"229","Tuamotu","Raroia","2",6,"Scleractinian","Dipsastrea",0.0443333333333333
"230","Society","Tahiti","2",6,"Scleractinian","Dipsastrea",0.177666666666667
"231","Tuamotu","Tikehau","2",6,"Scleractinian","Dipsastrea",0.576666666666667
"232","Society","Bora","1",20,"Scleractinian","Dipsastrea",0.400333333333333
"233","Gambier","Mangareva","1",20,"Scleractinian","Dipsastrea",0.133
"234","Tuamotu","Rangiroa","1",20,"Scleractinian","Dipsastrea",0.799666666666667
"235","Tuamotu","Raroia","1",20,"Scleractinian","Dipsastrea",0.0443333333333333
"236","Tuamotu","Tikehau","1",20,"Scleractinian","Dipsastrea",0.266666666666667
"237","Society","Bora","2",20,"Scleractinian","Dipsastrea",0.0886666666666667
"238","Gambier","Mangareva","2",20,"Scleractinian","Dipsastrea",0.0886666666666667
"239","Society","Moorea","2",20,"Scleractinian","Dipsastrea",0.0443333333333333
"240","Tuamotu","Rangiroa","2",20,"Scleractinian","Dipsastrea",0.177666666666667
"241","Society","Tahiti","2",20,"Scleractinian","Dipsastrea",0.4
"242","Tuamotu","Tikehau","2",20,"Scleractinian","Dipsastrea",1.556
"243","Society","Bora","1",40,"Scleractinian","Dipsastrea",0.0443333333333333
"244","Tuamotu","Tikehau","1",40,"Scleractinian","Dipsastrea",0.4
"245","Gambier","Mangareva","2",40,"Scleractinian","Dipsastrea",0.0443333333333333
"246","Tuamotu","Rangiroa","2",40,"Scleractinian","Dipsastrea",0.444333333333333
"247","Tuamotu","Tikehau","2",40,"Scleractinian","Dipsastrea",0.133
"248","Gambier","Mangareva","1",60,"Scleractinian","Dipsastrea",0.666333333333333
"249","Gambier","Mangareva","2",60,"Scleractinian","Dipsastrea",0.133
"250","Gambier","Mangareva","1",90,"Scleractinian","Dipsastrea",0.488666666666667
"251","Tuamotu","Rangiroa","2",90,"Scleractinian","Dipsastrea",0.089
"252","Society","Tahiti","2",20,"Scleractinian","Echynophillia",0.0888333333333333
"253","Society","Moorea","1",40,"Scleractinian","Echynophillia",0.177666666666667
"254","Tuamotu","Rangiroa","1",40,"Scleractinian","Echynophillia",0.0443333333333333
"255","Tuamotu","Tikehau","1",40,"Scleractinian","Echynophillia",0.133333333333333
"256","Society","Bora","2",40,"Scleractinian","Echynophillia",0.089
"257","Tuamotu","Rangiroa","2",40,"Scleractinian","Echynophillia",0.0443333333333333
"258","Tuamotu","Raroia","2",40,"Scleractinian","Echynophillia",0.089
"259","Society","Tahiti","2",40,"Scleractinian","Echynophillia",1.73316666666667
"260","Tuamotu","Tikehau","2",40,"Scleractinian","Echynophillia",0.089
"261","Society","Bora","1",60,"Scleractinian","Echynophillia",0.222
"262","Tuamotu","Makatea","1",60,"Scleractinian","Echynophillia",0.0443333333333333
"263","Gambier","Mangareva","1",60,"Scleractinian","Echynophillia",0.0886666666666667
"264","Society","Moorea","1",60,"Scleractinian","Echynophillia",0.177333333333333
"265","Tuamotu","Rangiroa","1",60,"Scleractinian","Echynophillia",0.977666666666667
"266","Tuamotu","Raroia","1",60,"Scleractinian","Echynophillia",1.222
"267","Society","Tahiti","1",60,"Scleractinian","Echynophillia",2.59933333333333
"268","Society","Bora","2",60,"Scleractinian","Echynophillia",0.444333333333333
"269","Tuamotu","Makatea","2",60,"Scleractinian","Echynophillia",0.0443333333333333
"270","Society","Moorea","2",60,"Scleractinian","Echynophillia",0.133333333333333
"271","Tuamotu","Rangiroa","2",60,"Scleractinian","Echynophillia",1.11083333333333
"272","Tuamotu","Raroia","2",60,"Scleractinian","Echynophillia",0.399833333333333
"273","Society","Tahiti","2",60,"Scleractinian","Echynophillia",3.5115
"274","Tuamotu","Tikehau","2",60,"Scleractinian","Echynophillia",0.222166666666667
"275","Society","Bora","1",90,"Scleractinian","Echynophillia",0.221833333333333
"276","Tuamotu","Makatea","1",90,"Scleractinian","Echynophillia",0.155333333333333
"277","Gambier","Mangareva","1",90,"Scleractinian","Echynophillia",0.0886666666666667
"278","Society","Moorea","1",90,"Scleractinian","Echynophillia",1.044
"279","Tuamotu","Rangiroa","1",90,"Scleractinian","Echynophillia",0.422
"280","Tuamotu","Raroia","1",90,"Scleractinian","Echynophillia",3.08916666666667
"281","Society","Tahiti","1",90,"Scleractinian","Echynophillia",1.4225
"282","Tuamotu","Tikehau","1",90,"Scleractinian","Echynophillia",0.133333333333333
"283","Society","Bora","2",90,"Scleractinian","Echynophillia",2.3775
"284","Tuamotu","Makatea","2",90,"Scleractinian","Echynophillia",0.0443333333333333
"285","Society","Moorea","2",90,"Scleractinian","Echynophillia",0.666166666666667
"286","Tuamotu","Rangiroa","2",90,"Scleractinian","Echynophillia",1.02183333333333
"287","Tuamotu","Raroia","2",90,"Scleractinian","Echynophillia",3.55566666666667
"288","Tuamotu","Tikehau","2",90,"Scleractinian","Echynophillia",2.377
"289","Tuamotu","Makatea","1",120,"Scleractinian","Echynophillia",0.711166666666667
"290","Gambier","Mangareva","1",120,"Scleractinian","Echynophillia",0.310666666666667
"291","Tuamotu","Raroia","1",120,"Scleractinian","Echynophillia",0.133333333333333
"292","Society","Tahiti","1",120,"Scleractinian","Echynophillia",0.0443333333333333
"293","Society","Bora","2",120,"Scleractinian","Echynophillia",0.310833333333333
"294","Tuamotu","Makatea","2",120,"Scleractinian","Echynophillia",0.532666666666667
"295","Gambier","Mangareva","2",120,"Scleractinian","Echynophillia",3.37833333333333
"296","Society","Moorea","2",120,"Scleractinian","Echynophillia",0.133333333333333
"297","Tuamotu","Rangiroa","2",120,"Scleractinian","Echynophillia",0.310666666666667
"298","Tuamotu","Tikehau","2",120,"Scleractinian","Echynophillia",0.0443333333333333
"299","Society","Tahiti","1",6,"Scleractinian","Fungia",0.0886666666666667
"300","Tuamotu","Raroia","2",6,"Scleractinian","Fungia",0.0886666666666667
"301","Tuamotu","Tikehau","2",6,"Scleractinian","Fungia",0.0886666666666667
"302","Society","Bora","1",20,"Scleractinian","Fungia",0.0443333333333333
"303","Tuamotu","Makatea","1",20,"Scleractinian","Fungia",0.0886666666666667
"304","Gambier","Mangareva","1",20,"Scleractinian","Fungia",0.133333333333333
"305","Society","Moorea","1",20,"Scleractinian","Fungia",0.355333333333333
"306","Tuamotu","Rangiroa","1",20,"Scleractinian","Fungia",0.711
"307","Tuamotu","Raroia","1",20,"Scleractinian","Fungia",0.0886666666666667
"308","Society","Tahiti","1",20,"Scleractinian","Fungia",0.266333333333333
"309","Tuamotu","Tikehau","1",20,"Scleractinian","Fungia",0.355
"310","Society","Bora","2",20,"Scleractinian","Fungia",0.177333333333333
"311","Gambier","Mangareva","2",20,"Scleractinian","Fungia",0.711
"312","Society","Moorea","2",20,"Scleractinian","Fungia",1.82166666666667
"313","Tuamotu","Rangiroa","2",20,"Scleractinian","Fungia",2.666
"314","Tuamotu","Raroia","2",20,"Scleractinian","Fungia",1.02166666666667
"315","Society","Tahiti","2",20,"Scleractinian","Fungia",0.177333333333333
"316","Tuamotu","Tikehau","2",20,"Scleractinian","Fungia",0.222333333333333
"317","Society","Bora","1",40,"Scleractinian","Fungia",0.0443333333333333
"318","Tuamotu","Makatea","1",40,"Scleractinian","Fungia",0.089
"319","Gambier","Mangareva","1",40,"Scleractinian","Fungia",0.443666666666667
"320","Society","Moorea","1",40,"Scleractinian","Fungia",0.310666666666667
"321","Society","Tahiti","1",40,"Scleractinian","Fungia",1.68866666666667
"322","Tuamotu","Tikehau","1",40,"Scleractinian","Fungia",0.0886666666666667
"323","Society","Bora","2",40,"Scleractinian","Fungia",1.91133333333333
"324","Tuamotu","Makatea","2",40,"Scleractinian","Fungia",0.177333333333333
"325","Gambier","Mangareva","2",40,"Scleractinian","Fungia",10.8896666666667
"326","Society","Moorea","2",40,"Scleractinian","Fungia",0.133333333333333
"327","Tuamotu","Rangiroa","2",40,"Scleractinian","Fungia",0.133333333333333
"328","Tuamotu","Raroia","2",40,"Scleractinian","Fungia",0.177666666666667
"329","Society","Tahiti","2",40,"Scleractinian","Fungia",0.133
"330","Tuamotu","Tikehau","2",40,"Scleractinian","Fungia",0.177333333333333
"331","Society","Bora","1",60,"Scleractinian","Fungia",0.0886666666666667
"332","Tuamotu","Makatea","1",60,"Scleractinian","Fungia",0.089
"333","Society","Moorea","1",60,"Scleractinian","Fungia",0.0443333333333333
"334","Society","Tahiti","1",60,"Scleractinian","Fungia",0.266333333333333
"335","Tuamotu","Tikehau","1",60,"Scleractinian","Fungia",0.177333333333333
"336","Society","Bora","2",60,"Scleractinian","Fungia",0.0886666666666667
"337","Tuamotu","Makatea","2",60,"Scleractinian","Fungia",0.0886666666666667
"338","Gambier","Mangareva","2",60,"Scleractinian","Fungia",0.0886666666666667
"339","Society","Moorea","2",60,"Scleractinian","Fungia",0.443333333333333
"340","Tuamotu","Raroia","2",60,"Scleractinian","Fungia",0.0443333333333333
"341","Society","Tahiti","2",60,"Scleractinian","Fungia",0.0443333333333333
"342","Tuamotu","Makatea","2",6,"Scleractinian","Gardinoseris",0.0888333333333333
"343","Society","Bora","1",20,"Scleractinian","Gardinoseris",0.0886666666666667
"344","Tuamotu","Makatea","1",20,"Scleractinian","Gardinoseris",0.0443333333333333
"345","Society","Moorea","1",20,"Scleractinian","Gardinoseris",0.0666666666666667
"346","Society","Tahiti","1",20,"Scleractinian","Gardinoseris",0.503666666666667
"347","Tuamotu","Tikehau","1",20,"Scleractinian","Gardinoseris",1.22233333333333
"348","Society","Bora","2",20,"Scleractinian","Gardinoseris",0.0443333333333333
"349","Tuamotu","Makatea","2",20,"Scleractinian","Gardinoseris",0.178
"350","Society","Moorea","2",20,"Scleractinian","Gardinoseris",0.111
"351","Society","Tahiti","2",20,"Scleractinian","Gardinoseris",0.0443333333333333
"352","Tuamotu","Tikehau","2",20,"Scleractinian","Gardinoseris",0.0443333333333333
"353","Society","Bora","1",40,"Scleractinian","Gardinoseris",0.0443333333333333
