Species ;Min. depth ;Max. depth 
Dichocoenia stellaris ;15 ;22 
Dichocoenia stokesi ;2 ;72 
Dichopsammia granulosa ;20 ;30 
Diploastrea heliopora ;0 ;30 
Diploria labyrinthiformis ;1 ;43 
Dipsastraea albida ;2 ;10 
Dipsastraea amicorum ;0 ;20 
Dipsastraea danai ;3 ;20 
Dipsastraea faviaformis ;2 ;12 
Dipsastraea favus ;0 ;50 
Dipsastraea helianthoides ;1 ;20 
Dipsastraea lacuna ;1 ;15 
Dipsastraea laddi ;0 ;10 
Dipsastraea laxa ;1 ;25 
Dipsastraea lizardensis ;1 ;20 
Dipsastraea maritima ;5 ;30 
Dipsastraea marshae ;5 ;15 
Dipsastraea maxima ;2 ;25 
Dipsastraea pallida ;0 ;50 
Dipsastraea rosaria ;5 ;20 
Dipsastraea rotumana ;1 ;30 
Dipsastraea truncata ;0 ;20 
Dipsastraea veroni ;3 ;25 
Dipsastraea vietnamensis ;0 ;20 
Duncanopsammia axifuga ;8 ;30 
Echinophyllia costata ;5 ;10 
Echinophyllia echinata ;5 ;40 
Echinophyllia echinoporoides ;3 ;30 
Echinophyllia orpheensis ;1 ;30 
Echinophyllia patula ;10 ;40 
Echinophyllia pectinata ;5 ;40 
Echinopora ashmorensis ;3 ;20 
Echinopora forskaliana ;1 ;20 
Echinopora fruticulosa ;1 ;20 
Echinopora hirsutissima ;0 ;40 
Echinopora horrida ;3 ;25 
Echinopora irregularis ;1 ;4 
Echinopora mammiformis ;3 ;15 
Echinopora pacificus ;1 ;15 
Echinopora robusta ;1 ;25 
Echinopora taylorae ;12 ;12 
Echinopora tiranensis ;15 ;15 
Erythrastrea flabellata ;5 ;25 
Euphyllia ancora ;6 ;30 
Euphyllia cristata ;1 ;35 
Euphyllia divisa ;2 ;35 
Euphyllia glabrescens ;1 ;35 
Euphyllia paraancora ;3 ;30 
Euphyllia paradivisa ;5 ;20 
Euphyllia paraglabrescens ;5 ;15 
Euphyllia yaeyamaensis ;6 ;30 
Eusmilia fastigiata ;1 ;65 
Favia fragum ;0.5 ;20 
Favites acuticollis ;0 ;20 
Favites chinensis ;0 ;20 
Favites colemani ;0 ;20 
Favites flexuosa ;1 ;20 
Favites magnistellata ;2 ;30 
Favites melicerum ;3 ;20 
Favites micropentagonus ;0 ;20 
Favites paraflexuosus ;1 ;20 
